,Open,High,Low,Close,Volume,TradingDate
348,74200.0,75000.0,70500.0,75000.0,2106859,2022-10-25
349,75000.0,75300.0,73000.0,74500.0,1070375,2022-10-26
350,74900.0,74900.0,73100.0,73900.0,1087140,2022-10-27
351,73500.0,74000.0,72000.0,72500.0,1546560,2022-10-28
352,71200.0,71900.0,67500.0,70000.0,2452741,2022-10-31
353,70900.0,71400.0,65600.0,70000.0,1219602,2022-11-01
354,70000.0,70000.0,66000.0,69200.0,1680672,2022-11-02
355,68200.0,68200.0,64400.0,64400.0,739835,2022-11-03
356,59900.0,59900.0,59900.0,59900.0,337994,2022-11-04
357,55800.0,55800.0,55800.0,55800.0,393636,2022-11-07
358,51900.0,51900.0,51900.0,51900.0,349611,2022-11-08
359,48300.0,48300.0,48300.0,48300.0,536254,2022-11-09
360,44950.0,44950.0,44950.0,44950.0,332019,2022-11-10
361,41850.0,41850.0,41850.0,41850.0,677739,2022-11-11
362,38950.0,38950.0,38950.0,38950.0,29561,2022-11-14
363,36250.0,36250.0,36250.0,36250.0,219935,2022-11-15
364,33750.0,33750.0,33750.0,33750.0,176947,2022-11-16
365,31400.0,31400.0,31400.0,31400.0,391321,2022-11-17
366,29250.0,29250.0,29250.0,29250.0,1272739,2022-11-18
367,27250.0,27250.0,27250.0,27250.0,631975,2022-11-21
368,25350.0,28300.0,25350.0,25350.0,128536256,2022-11-22
369,23600.0,25000.0,23600.0,23600.0,29720733,2022-11-23
370,21950.0,21950.0,21950.0,21950.0,3279528,2022-11-24
371,20450.0,20450.0,20450.0,20450.0,7362006,2022-11-25
372,19050.0,21200.0,19050.0,20450.0,104277578,2022-11-28
373,21400.0,21850.0,21000.0,21850.0,21571638,2022-11-29
374,23350.0,23350.0,23000.0,23350.0,23243697,2022-11-30
375,24900.0,24950.0,22000.0,23350.0,74962550,2022-12-01
376,23350.0,24050.0,22300.0,23800.0,46464157,2022-12-02
377,24000.0,24700.0,22150.0,22150.0,60549676,2022-12-05
378,21100.0,21200.0,20600.0,20600.0,52322925,2022-12-06
379,19200.0,19400.0,19200.0,19200.0,23242586,2022-12-07
380,17900.0,18900.0,17900.0,17900.0,67955848,2022-12-08
381,16650.0,17700.0,16650.0,16650.0,56130662,2022-12-09
382,17800.0,17800.0,17800.0,17800.0,6990439,2022-12-12
383,19000.0,19000.0,17050.0,18200.0,55178341,2022-12-13
384,18700.0,19000.0,18200.0,18500.0,19285192,2022-12-14
385,18250.0,18600.0,17700.0,17900.0,21350400,2022-12-15
386,17300.0,18200.0,17300.0,18200.0,20396404,2022-12-16
387,18200.0,18900.0,17500.0,17500.0,23840918,2022-12-19
388,17250.0,17600.0,16300.0,16300.0,36947231,2022-12-20
389,16200.0,16600.0,15200.0,15200.0,34319502,2022-12-21
390,15200.0,15700.0,14200.0,15500.0,29798503,2022-12-22
391,15500.0,15900.0,15100.0,15100.0,11375923,2022-12-23
392,15200.0,15200.0,14050.0,14050.0,12071115,2022-12-26
393,13200.0,14400.0,13100.0,14400.0,27214010,2022-12-27
394,14500.0,14600.0,13800.0,14350.0,13459048,2022-12-28
395,14050.0,15350.0,14050.0,14650.0,21575450,2022-12-29
396,14800.0,14900.0,14000.0,14000.0,10593061,2022-12-30
397,14000.0,14700.0,13850.0,14650.0,12200283,2023-01-03
398,14650.0,14700.0,14000.0,14000.0,15522882,2023-01-04
399,14000.0,14250.0,13500.0,13700.0,13926296,2023-01-05
400,13700.0,14400.0,13600.0,13600.0,16075999,2023-01-06
401,13900.0,14250.0,13700.0,13850.0,9958011,2023-01-09
402,14050.0,14150.0,13800.0,13950.0,8575391,2023-01-10
403,14100.0,14900.0,14050.0,14900.0,27737688,2023-01-11
404,15200.0,15700.0,14700.0,14950.0,14841159,2023-01-12
405,15200.0,15200.0,14250.0,14300.0,14474418,2023-01-13
406,14300.0,14350.0,13650.0,13650.0,16752828,2023-01-16
407,13900.0,14100.0,13700.0,14000.0,10049986,2023-01-17
408,14100.0,14250.0,14000.0,14150.0,11196681,2023-01-18
409,14150.0,14200.0,13950.0,14050.0,12474836,2023-01-19
410,14000.0,14300.0,13850.0,13950.0,11685428,2023-01-27
411,13950.0,14450.0,13650.0,13950.0,14015731,2023-01-30
412,14300.0,14400.0,14050.0,14200.0,10529709,2023-01-31
413,14350.0,15150.0,14300.0,14550.0,33627526,2023-02-01
414,14850.0,14850.0,14050.0,14200.0,11462106,2023-02-02
415,14450.0,14950.0,14300.0,14950.0,20305026,2023-02-03
416,14900.0,15750.0,14600.0,15400.0,19864747,2023-02-06
417,15350.0,15600.0,14550.0,14600.0,20046826,2023-02-07
418,14800.0,14900.0,13900.0,14300.0,13716543,2023-02-08
